name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
가속 방어막,advancedshieldemitter,0,,,"defensive, shields, merc, standard",방어막,3000,,,,3,6,9,15,data.hullmods.AcceleratedShieldEmitter,"함선의 방어막 선회 속도를 %s, 방어막 전개 속도를 %s 증가시킵니다.",쉴드의 회전 속도와 확장 속도를 증가시킵니다.,쉴드의 회전 속도와 상승 속도를 추가로 %s 증가시킵니다.,graphics/hullmods/accelerated_shields.png
적응형 위상 코일,adaptive_coils,2,,,"phase, merc, standard",위상,5000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdaptivePhaseCoils,"위상 코일은 함선의 하드 플럭스 수치가 높아질수록 일반 공간과의 연결을 유지하기 어려워지며, 코일이 추진력을 얻지 못해 최고 속도가 크게 감소합니다. 이 개조를 통해 코일이 더 높은 하드 플럭스를 처리할 수 있게 되어, 속도가 최저치에 도달하는 임계값을 %s 증가시킵니다. 다른 개조가 없는 표준 코일의 경우 임계값이 %s에서 %s로 증가합니다.",페이즈 상태일 때 하드 플럭스 수준이 최고 속도에 미치는 영향을 줄입니다.,,graphics/hullmods/phase_field.png
고급 광학장치,advancedoptics,2,,,"offensive, merc, standard",무기,1000,,,,5,10,15,25,data.hullmods.AdvancedOptics,"빔 무기의 사거리를 %s 연장하지만, 선회 속도를 %s 감소시킵니다. 통합 조준 장치와 중첩 적용됩니다.",빔 무기의 사거리를 증가시킵니다.,,graphics/hullmods/advanced_optics.png
고급 포탑 자이로,turretgyros,0,,,"defensive, merc, standard",무기,2500,,,,2,4,6,10,data.hullmods.AdvancedTurretGyros,모든 포탑의 선회 속도를 %s 증가시킵니다.,터렛의 회전 속도를 증가시킵니다.,미사일과 전투기에 대한 피해를 %s 증가시킵니다. 크기 차이마다 작은 함선에 대한 피해를 %s 증가시킵니다.,graphics/hullmods/advanced_turret_gyros.png
장갑 무기 마운트,armoredweapons,0,,,"defensive, merc, standard","무기, 방어",2500,TRUE,,,3,6,9,15,data.hullmods.ArmoredWeapons,"모든 무기의 내구도를 %s 증가시키고 반동을 %s 감소시키지만, 무기 선회 속도를 %s 감소시킵니다. 또한 함선의 장갑을 %s 증가시킵니다.","무기를 비활성화하기 어렵게 만들고, 반동을 줄입니다.",미사일이 아닌 모든 무기의 발사 속도를 %s 증가시킵니다.,graphics/hullmods/armored_weapon_emplacements.png
강습 패키지,assault_package,1,,,"defensive, civ_package, no_drop, no_drop_salvage, hide_in_codex","특수, 방어",8000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.AssaultPackage,"함선의 선체 강도를 %s, 장갑을 %s, 플럭스 용량을 %s 증가시킵니다. 전투에서 적에게 교전을 시도하며 전투함으로 행동합니다.","선체 내구도, 장갑, 플럭스 용량을 증가시킵니다.",,graphics/hullmods/assault_package.png
자동 수리 장치,autorepair,2,,,"engines, defensive, merc, standard",방어,7500,,,,3,6,9,15,data.hullmods.AutomatedRepairUnit,전투 중 비활성화된 무기와 엔진의 수리 시간을 %s 단축합니다.,전투 중에 무기 수리 속도를 증가시킵니다.,"수리를 %s로 줄여주며, 과부하 지속 시간을 %s로 감소시킵니다.",graphics/hullmods/automated_repair_unit.png
보조 추진기,auxiliarythrusters,1,,,"engines, merc, standard",엔진,5000,TRUE,,,4,8,12,20,data.hullmods.AuxiliaryThrusters,함선의 기동성을 %s 향상시킵니다.,기동성을 증가시킵니다.,"0-플럭스 속도 증가량을 %s 높이고, 0-플럭스 회전 속도 보너스를 %s 조정합니다.",graphics/hullmods/auxilliary_thrusters.png
탄도 거리측정기,ballistic_rangefinder,2,,,"offensive, merc, standard",무기,8000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.BallisticRangefinder,<스크립트에서 생성되는 툴팁>,탄도 슬롯에 장착된 소형 및 중형 무기의 기본 사거리를 증가시킵니다.,,graphics/hullmods/ballistic_rangefinder.png
방폭문,blast_doors,0,,,"defensive, merc, standard",방어,2500,TRUE,,,4,8,12,20,data.hullmods.BlastDoors,함선 내 주요 지점에 기밀 강화 격벽을 추가로 설치합니다. 선체 강도를 %s 증가시킵니다. 전투 중 선체 피해로 인한 선원 사상자를 %s 감소시킵니다.,"선체 내구도를 증가시키고, 승무원 사상자를 줄입니다.",승무원 사상자 감소량을 %s로 증가시킵니다.,graphics/hullmods/blast_doors.png
개조 격납고,converted_hangar,1,,,"special, non_phase, merc, standard",전투기,5000,,,,0,10,10,10,com.fs.starfarer.api.impl.hullmods.ConvertedHangar,<스크립트에서 생성되는 툴팁>,비 캐리어용 임시 전투기 격납고,"순양함의 경우 전투기 재생성 속도가 %s 증가하고, 주력함의 경우 %s 증가합니다. 구축함에는 추가 효과가 없습니다.",graphics/hullmods/converted_hangar.png
개조 전투기 격납구,converted_fighterbay,0,,,"req_spaceport, special, non_phase, standard","전투기, 보급, 도크 필요",3000,,,,2,4,6,10,data.hullmods.ConvertedFighterBay,"함선의 기본 내장 비행대가 있는 전투기 격납고를 임시 화물창으로 전환하여 화물 용량을 %s 추가하고, 전투기 격납고당 필요 승무원을 %s 감소시킵니다.",내장된 전투기 격납고를 임시 화물칸으로 전환합니다.,월간 유지 보수 비용이 각 전투기 격납고당 %s 만큼 감소합니다.,graphics/hullmods/converted_fighter_bay.png
전용 조준 코어,dedicated_targeting_core,0,,,"offensive, merc, standard",무기,2500,TRUE,,,0,0,15,25,data.hullmods.DedicatedTargetingCore,"탄도 및 에너지 무기의 사거리를 순양함/전함 기준 %s/%s 증가시킵니다. 프리깃이나 구축함에는 설치할 수 없으며, 통합 조준 장치와 함께 작동하지 않습니다.",무기를 장착한 함선의 사거리를 증가시킵니다. 특히 대형 함선의 경우 더 많이 증가합니다.,"순양함의 경우 %s, 주력함의 경우 %s로 범위 보너스를 증가시킵니다.",graphics/hullmods/targeting_core.png
방어 조준 배열,defensive_targeting_array,2,,,"special, merc, standard",전투기,3000,,,,2,4,6,10,com.fs.starfarer.api.impl.hullmods.DefensiveTargetingArray,"표준 전투기 통신 링크를 근거리 조준 데이터 제공용으로 전용합니다. 전투기의 미사일 및 다른 전투기에 대한 피해를 %s 증가시키지만, 전투기가 모함 근처에서만 비행하도록 제한합니다.","전투기 대공 피해를 증가시키고, 전투기 배회 범위를 0으로 줄입니다.",함선 전투기의 탄도 및 에너지 무기 사거리를 %s 단위로 연장합니다.,graphics/hullmods/defensive_targeting_array.png
ECCM 패키지,eccm,2,,,"offensive, defensive, merc, standard",무기,2500,,,,5,8,15,20,data.hullmods.ECCMPackage,"함선이 발사한 미사일이 전자 방해 수단 및 플레어에 영향을 받을 확률을 %s 감소시킵니다. 각 미사일에 내장된 CPU 코어가 미사일 최고 속도를 %s, 유도 반응성을 %s 증가시키며 유도 알고리즘도 크게 향상됩니다. 또한 적 ECM으로 인한 무기 사거리 감소를 %s 줄입니다.","미사일 속도와 유도성을 향상시키고, 적의 전자전 공격의 영향을 줄입니다.","무기 사거리 감소의 영향을 완전히 무시하며, 함선의 미사일이 플레어를 무시하도록 합니다.",graphics/hullmods/eccm_package.png
ECM 패키지,ecm,2,,,"offensive, special, merc, standard","무기, 서포트",4000,,,,6,12,18,24,com.fs.starfarer.api.impl.hullmods.ECMPackage,"전투에 배치될 경우, 함선 크기에 따라 %s/%s/%s/%s의 ECM 등급을 부여합니다.",선박의 전자전 능력치를 증가시킵니다.,,graphics/hullmods/ecm_package.png
호위 패키지,escort_package,1,,,"special, weapons, engines, standard","특수, 무기, 엔진",8000,,,,0,7,15,0,com.fs.starfarer.api.impl.hullmods.EscortPackage,"인근 약 %s su 이내에 아군 대형 함선이 있을 경우, 이 함선의 기동성을 %s, 최고 속도를 %s 증가시킵니다. 또한 탄도 및 에너지 무기 사거리를 %s 증가시킵니다. 인근 아군이 전함급일 경우 구축함에 대한 이 보너스가 %s입니다.","대형 우호적 함선 근처에서 기동성, 최고 속도, 무기 사거리를 증가시킵니다.",구축함: 쉴드가 받는 피해를 %s 줄입니다. 순양함에는 추가 효과가 없습니다.,graphics/hullmods/escort_package.png
확장 갑판 승무원,expanded_deck_crew,1,,,"special, merc, standard",전투기,4000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedDeckCrew,"전투기 손실로 인한 전투기 교체 속도 감소율을 %s 줄이고, 회복 속도를 %s 증가시킵니다. 전투기 격납고당 필요 승무원을 %s 증가시킵니다.","전투기 교체 속도를 향상시키며, 승무원 요구사항을 증가시킵니다.",,graphics/hullmods/expanded_deck_crew.png
확장 탄창,magazines,1,,,"offensive, merc, standard",무기,2500,,,,3,5,7,10,data.hullmods.ExpandedMagazines,탄도 및 에너지 무기의 탄약 용량 또는 충전 횟수를 %s 증가시킵니다.,탄도 및 에너지 무기의 탄약/충전량을 증가시킵니다.,탄도 및 에너지 무기의 탄약/충전 재생성 속도를 %s 증가시킵니다.,graphics/hullmods/expanded_magazines2.png
확장 미사일 랙,missleracks,1,,,"offensive, merc, standard",무기,5000,,,,8,12,20,30,data.hullmods.ExpandedMissileRacks,미사일 무기의 탄약 용량을 %s 증가시킵니다.,미사일 무기 탄약 증가,미사일 무기의 발사 속도를 %s 만큼 감소시킵니다.,graphics/hullmods/expanded_missile_racks.png
확장 방어막,extendedshieldemitter,1,,,"shields, defensive, merc, standard",방어막,5000,,,,4,8,12,20,data.hullmods.ExtendedShieldEmitter,방어막의 범위를 %s도 증가시킵니다.,최대 쉴드 각도를 증가시킵니다.,쉴드의 커버리지가 추가로 %s 도 증가합니다.,graphics/hullmods/extended_shields.png
플럭스 코일 보조장치,fluxcoil,0,,,"special, merc, standard",특수,4000,TRUE,,,4,8,12,20,data.hullmods.FluxCoilAdjunct,"함선 크기에 따라 플럭스 용량을 %s/%s/%s/%s 증가시킵니다. 플럭스 커패시터보다 효율은 낮지만, 이미 최대 커패시터를 탑재한 설계에 가장 유용합니다.",플럭스 용량을 증가시킵니다.,"플럭스 용량을 추가로 %s/%s/%s/%s 증가시켜, 코일이 콘덴서를 추가하는 것만큼 효율적으로 작동하도록 합니다.",graphics/hullmods/flux_coil_adjunct.png
플럭스 분배기,fluxdistributor,0,,,"special, merc, standard",특수,4000,TRUE,,,4,8,12,20,data.hullmods.FluxDistributor,"함선 크기에 따라 플럭스 방출을 %s/%s/%s/%s 증가시킵니다. 플럭스 벤트보다 효율은 낮지만, 이미 최대 벤트를 탑재한 설계에 가장 유용합니다.",플럭스 감소량 증가,플럭스 소산을 추가로 %s/%s/%s/%s 증가시킵니다. 배급기 효율이 벤트를 추가하는 것만큼 좋아집니다.,graphics/hullmods/flux_distributor.png
,,,,,,,,,,,,,,,,,,,
방어막 차단기,shield_shunt,1,,,"special, shields, merc, standard","특수, 방어막",3000,,,,3,5,7,10,com.fs.starfarer.api.impl.hullmods.ShieldShunt,함선의 방어막을 제거합니다. 외부 방출 노드를 강화 장갑판으로 교체하여 함선의 장갑을 %s 증가시킵니다.,쉴드를 제거하고 장갑을 증가시킵니다.,함선의 장갑을 추가로 %s 증가시킵니다.,graphics/hullmods/shield_shunt.png
임시 방어막 발생기,frontshield,0,,,"shields, defensive, standard",방어막,4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,함선에 임시적이고 비효율적인 방어막 발생기를 설치합니다. 방어막 방출장치는 전면 고정 위치에 잠기며 범위는 %s도입니다. 방어막 발생기는 엔진 출력의 상당 부분을 소모하여 최고 속도를 %s 감소시킵니다.,쉴드가 없는 함선에 기본 쉴드를 설치합니다. 최고 속도가 감소합니다.,,graphics/hullmods/front_shield_generator.png
미사일 자동장전기,missile_autoloader,1,,,"offensive, merc, standard",무기,6000,,,,8,12,20,30,com.fs.starfarer.api.impl.hullmods.MissileAutoloader,<스크립트에서 생성되는 툴팁>,소형 미사일 장착구의 미사일 무기를 재장전합니다,재장전 후 대기 시간을 %s초로 증가시킵니다.,graphics/hullmods/missile_autoloader.png
강화 방어막,hardenedshieldemitter,3,,,"shields, defensive, merc, standard",방어막,10000,,,,5,10,15,25,data.hullmods.HardenedShieldEmitter,방어막이 받는 피해를 %s 감소시킵니다. 또한 이온 빔과 같은 무기의 EMP 아크가 방어막을 관통할 확률도 감소시킵니다.,쉴드가 받는 피해를 줄입니다.,,graphics/hullmods/hardened_shields.png
강화 서브시스템,hardened_subsystems,0,,,"special, merc, standard",특수,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,장기 출격으로 인한 성능 저하가 발생하는 함선의 최고 운용 시간을 %s 증가시킵니다. 전투 준비도 감소 속도도 %s 줄입니다.,"피크 시간이 증가하고, CR이 더 느리게 저하됩니다.",,graphics/hullmods/hardened_subsystems.png
중장갑,heavyarmor,0,,,"defensive, merc, standard",방어,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,함선 크기에 따라 함선의 장갑을 %s/%s/%s/%s 포인트 증가시킵니다.,방어도를 증가시킵니다.,선박의 기동성을 %s 만큼 감소시킵니다.,graphics/hullmods/heavy_armor.png
고산란 증폭기,high_scatter_amp,3,,,"offensive, merc, standard",무기,5000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.HighScatterAmp,<스크립트에서 생성되는 툴팁>,빔 사거리를 줄입니다; 빔이 더 많은 피해를 주고 쉴드에 하드 플럭스를 적용합니다.,빔 무기 피해를 추가로 %s 증가시킵니다.,graphics/hullmods/high_scatter_amp.png
통합 포인트 방어 AI,pointdefenseai,3,,,"defensive, merc, standard","무기, 방어",10000,,,,3,6,9,15,data.hullmods.IntegratedPointDefenseAI,"모든 점방어 무기가 유인 플레어를 식별하고 무시할 수 있게 됩니다. 또한 모든 점방어 무기는 전투 준비도에 관계없이 최상의 표적 선행을 얻으며, 미사일에 대한 피해가 %s 증가합니다.","PD는 디코이 플레어를 무시하고, 목표 추적이 개선되며, 미사일에 대한 피해가 증가합니다.","소형 미사일이 아닌 비공격 무기들은 모두 ""근거리 방어""로 분류되어 미사일을 자동으로 목표로 하며, 근거리 방어 능력치 수정자가 적용됩니다.",graphics/hullmods/integrated_point_defense_ai.png
#Point Defense Integration,pdintegration,3,,,"defensive, merc","무기, 방어",10000,,,,12,15,18,24,com.fs.starfarer.api.impl.hullmods.PDIntegration,"소형 근접방어 무기의 탄약 포인트 비용을 %s만큼 감소시킨다. 이 비용 감소는 무기 자체의 특징으로 근접방어 능력을 가진 무기에만 적용되며, 다른 수단으로 획득한 경우에는 적용되지 않는다. 모든 근접방어 무기는 모든 목표에 대해 %s만큼 더 많은 피해를 입힌다.","소형 PD 무기의 포인트 비용 감소, 모든 PD의 피해량 증가",,graphics/hullmods/integrated_point_defense_ai.png
통합 조준 장치,targetingunit,3,,,"offensive, merc, standard",무기,10000,,,,4,8,15,25,data.hullmods.IntegratedTargetingUnit,함선 크기에 따라 탄도 및 에너지 무기의 사거리를 %s/%s/%s/%s 연장합니다. 전용 조준 코어와 함께 작동하지 않습니다. 대부분의 전투함은 통합 조준 장치 또는 전용 조준 코어 중 하나를 설치합니다.,무기를 장착한 함선의 사거리를 증가시킵니다. 특히 큰 함선일수록 더 많은 증가량을 가집니다.,,graphics/hullmods/integrated_targeting_unit.png
항법 중계기,nav_relay,2,,,"engines, special, merc, standard","엔진, 서포트",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"전투에 배치될 경우, 함선 크기에 따라 함대의 항법 등급을 %s/%s/%s/%s 증가시킵니다. 함대의 총 항법 등급은 배치된 함선의 최고 속도를 증가시킵니다.",배치된 함선의 최고 속도를 증가시킵니다.,,graphics/hullmods/nav_relay.png
신경 인터페이스,neural_interface,3,,,"special, no_drop, no_drop_salvage",특수,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralInterface,"기함과 다른 함선을 연결하여 두 함선이 동시에 %s할 수 있게 합니다. '지휘권 이전'과 마찬가지로, 탄약 용량 증가나 전투 준비도 같은 일부 스킬 효과는 링크된 함선에는 적용되지 않습니다. 셔틀 포드 없이 연결된 함선 간 빠른 전환이 가능합니다. 두 함선의 배치 포인트 합산이 %s 이하이면 이전이 즉시 이루어집니다. 목적지 함선은 장교나 AI 코어의 지휘 하에 있으면 안 됩니다.","선박을 빠르게 전환할 수 있으며, 시스템 재사용 대기 시간을 초기화하고 충전을 추가합니다.",선박으로부터의 전송은 배치 점수 총계와 상관없이 항상 즉시 수행됩니다.,graphics/hullmods/neural_interface.png
신경 통합장치,neural_integrator,,,,"special, no_drop, no_drop_salvage",특수,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,"신경 인터페이스의 강화 버전으로, 링크를 통한 모든 시스템 직접 제어가 가능해 자동화 함선과 연동됩니다. 두 함선이 동시에 %s할 수 있습니다. '지휘권 이전'과 마찬가지로, 탄약 용량 증가나 전투 준비도 같은 일부 스킬 효과는 링크된 함선에 적용되지 않습니다. 셔틀 포드 없이 연결된 함선 간 빠른 전환이 가능합니다. 두 함선의 배치 포인트 합산이 %s 이하이면 이전이 즉시 이루어집니다. 목적지 함선은 장교나 AI 코어의 지휘 하에 있으면 안 됩니다. 개조의 복잡성으로 인해 함선의 배치 포인트와 배치 후 회복 물자 비용이 %s 증가합니다.",자동화된 함선용 전문 신경 인터페이스,선박에서 전송은 배치 점수 총과 관계없이 항상 즉시 수행됩니다.,graphics/hullmods/neural_integrator.png
방어막 전환 - 전방,frontemitter,2,,,"shields, defensive, merc, standard",방어막,7000,,,,3,5,8,12,data.hullmods.FrontShieldEmitter,함선의 전방위 방어막 방출장치를 전면 고정 위치로 잠그고 범위를 %s 확대합니다. 모든 전면 방출장치와 마찬가지로 방어막도 두 배 빠르게 전개됩니다.,전방위 쉴드를 전방 쉴드로 전환하고 커버 각도를 확대합니다.,쉴드가 받는 피해량을 %s 만큼 줄입니다.,graphics/hullmods/front_shield_emitter.png
방어막 전환 - 전방위,adaptiveshields,3,,,"shields, defensive, merc, standard",방어막,7000,,,,3,5,8,12,data.hullmods.OmniShieldEmitter,전면 방어막을 전방위 방어막으로 전환합니다. 방어막의 범위를 %s 감소시킵니다.,전방 쉴드를 전방위 쉴드로 변경하며 각도를 감소시킵니다.,쉴드 방향성 패널티를 무시합니다.,graphics/hullmods/omni_shield_emitter_mod.png
