name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
고급 조준 코어,advancedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AdvancedTargetingCore,탄도 및 에너지 무기의 사거리를 %s 연장합니다. 점방어 무기의 사거리는 %s만 연장됩니다. 전용 조준 코어 또는 통합 조준 장치의 설치가 불가합니다.,미사일이 아닌 무기의 사거리를 크게 늘립니다.,,graphics/hullmods/advanced_targeting_core.png
조준 슈퍼컴퓨터,supercomputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TargetingSupercomputer,탄도 및 에너지 무기의 사거리를 %s 연장합니다. 점방어 무기의 사거리는 %s만 연장됩니다. 또한 표적 선행 정확도를 높이고 전투 중 센서 범위를 크게 증가시킵니다.,미사일이 아닌 무기의 사거리를 크게 늘립니다.,,graphics/hullmods/targeting_supercomputer.png
실험적 위상 코일,ex_phase_coils,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ExperimentalPhaseCoils,위상 망토의 재사용 대기시간을 %s 단축합니다.,페이즈 클로킹 재사용 대기시간을 크게 줄입니다.,,graphics/hullmods/phase_coils_experimental.png
고의지 유인기,high_frequency_attractor,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,함선의 균열 핵심부로 고주파 입자들을 워프 인할 수 있게 하는 실험적 개조입니다.,보다 강력한 고주파 모트를 발사합니다.,,graphics/hullmods/high_volition_attractor.png
소모형 장갑,ablative_armor,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AblativeArmor,"'이격' 장갑이 등장하기 전, 재료의 순수 체적만으로 마이크로 유성체를 막기 위해 설계된 고대 방식입니다. 피해 감소 계산에 사용되는 유효 장갑 강도를 실제 값의 %s로 줄입니다. 다만 이 설계의 함선은 매우 두꺼운 장갑을 탑재하는 경향이 있습니다.",방어구의 피해 감소 효과를 줄입니다.,,graphics/hullmods/ablative_armor.png
분산 사격통제,distributed_fire_control,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DistributedFireControl,"외부 제어선과 전력 도관에 대한 피해로 무기가 오프라인되는 경우가 많습니다. 이 함선의 무기는 보다 독립적으로 작동하도록 설계되어, 피해 노출이 %s 감소하고 함선 전체가 받는 EMP 피해도 %s 감소합니다.",무기 내구도를 증가시키고 EMP 피해를 감소시킵니다.,,graphics/hullmods/distributed_fire_control2.png
개조 화물실,converted_bay,1,,,,,,,TRUE,,0,0,0,0,data.hullmods.ConvertedCargoBay,"화물칸을 전투기 격납고 2개로 개조했습니다. 임시로 제작된 전투기 차대 제조시설은 불안정하며 대부분의 부품에 결함이 있습니다. 전투기 속도 %s 감소, 피해량 %s 증가.",임시 전투기 격납고 한 쌍.,,graphics/hullmods/converted_hangar.png
특수 개조 (안드라다),andrada_mods,,,,"dmod, codex_require_related",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AndradaMods,"초기 프로토타입 검사 중 최고 집행관이 노출된 배선관에 부정적 의견을 표했고, 전투 중 용감한 승무원들에게 위험을 초래할 수 있다고 판단했습니다. 최고 집행관이 임명한 수석 설계자는 신드리아 자체에서 생산한 특수 방폭 단열재 설치를 지시했습니다. 통로가 좁아지고 배선관 과열 위험이 있으며 패널 접근이 어렵지만, 공식 전투태세 보고서는 비판이 없습니다. 전투 중 승무원 사상자 %s 증가, 기본 플럭스 소산율 %s 감소, 무기 및 엔진 수리 속도 %s 감소.",함선의 성능을 감소시킵니다.,,graphics/hullmods/special_modifications.png
거대 선체,vastbulk,,,,,,,,TRUE,,0,0,0,0,data.hullmods.VastBulk,"이 구조물의 주체는 거대하며, 실질적으로 재래식 무기의 어떤 양의 피해도 파괴되지 않고 흡수할 수 있습니다.",,,graphics/hullmods/vast_bulk.png
축 회전,axialrotation,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AxialRotation,이 구조물은 자신의 축을 중심으로 지속적으로 회전합니다.,,,graphics/hullmods/axial_rotation.png
앵커 회전,anchorrotation,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AnchorRotation,이 구조물은 앵커 연결점을 중심으로 회전합니다. 정거장 모듈 전용입니다.,,,graphics/hullmods/axial_rotation.png
감소된 폭발,reduced_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ReducedExplosion,폭발 반경 및 피해량 감소.,,,graphics/hullmods/reduced_explosion.png
항상 분리,always_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AlwaysDetaches,파괴 시 항상 모체 구조물에서 분리됩니다.,,,graphics/hullmods/detach_always.png
절대 분리 안함,never_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NeverDetaches,파괴 시 모체 구조물에서 분리되지 않습니다.,,,graphics/hullmods/detach_never.png
무기 플럭스 없음,no_weapon_flux,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,무기 발사에 플럭스 소모 없음. 전투기의 유효 실드 내구도를 세밀하게 조절하기 위해 사용됩니다.,,,
관통 사격 금지,do_not_fire_through,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.DoNotFireThrough,정거장의 다른 모듈 무기들은 이 모듈을 통해 발사하는 것을 피합니다. 탄환이 이 모듈 위를 지나가 명중하지 않더라도 말입니다.,,,
파편 생성기,shard_spawner,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShardSpawner,함선이 무력화/파괴될 때 샤드 함선을 생성합니다.,,,
후퇴 금지,do_not_back_off,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DoNotBackOff,DO_NOT_BACK_OFF AI 플래그를 설정합니다.,,,
,,,,,,,,,,,,,,,,,,,
# threat stuff,,,,,,,,,,,,,,,,,,,
위협 선체,threat_hullmod,,,,"codex_require_related, threat",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.combat.threat.ThreatHullmod,Threat 함선의 특수 속성을 관리하는 숨겨진 선체 개조. 설명은 스크립트로 생성됩니다.,,,graphics/hullmods/the_threat.png
파편 군집,fragment_swarm,,,,"codex_unlockable, fragment, no_drop_salvage","무기, 특수",30000,,,,6,12,18,30,com.fs.starfarer.api.impl.combat.threat.FragmentSwarmHullmod,"위협 파편 군집이 함선 주위를 맴돌며 파편 기반 무기에 재생 가능한 파편을 공급합니다. 기본 파편 수는 %s/%s/%s/%s이며, 교체 파편은 주기적으로 발사됩니다.",위협 조각의 떼가 이 함선을 맴돕니다.,최대 전투 준비도를 %s 감소시키고 유지 보수 비용을 %s 증가시킵니다.,graphics/hullmods/fragment_swarm.png
보조 제작기,secondary_fabricator,,,,"codex_unlockable, fragment, no_drop_salvage","무기, 특수",20000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.SecondaryFabricatorHullmod,교체 파편이 발사되는 속도를 %s 증가시킵니다.,파편 교체 속도를 증가시킵니다.,파편 교체 속도를 추가로 %s 증가시킵니다.,graphics/hullmods/secondary_fabricator.png
파편 조정기,fragment_coordinator,,,,"codex_unlockable, fragment, no_drop_salvage","무기, 특수",15000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.FragmentCoordinatorHullmod,함선의 파편 군집 최대 파편 수를 %s 증가시킵니다.,함선 주변의 파편 떼의 크기를 증가시킵니다.,파편 스웜의 크기를 추가로 %s 증가시킵니다.,graphics/hullmods/fragment_coordinator.png
,,,,,,,,,,,,,,,,,,,
# shrouded dweller stuff,,,,,,,,,,,,,,,,,,,
드웰러 선체 개조,dweller_hullmod,,,,dweller,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.combat.dweller.DwellerHullmod,Shrouded Dweller 비주얼 및 커스텀 메커니즘을 추가합니다. 플레이어에게 보이지 않습니다.,,,
은폐 맨틀,shrouded_mantle,,,,"codex_unlockable, shrouded, no_drop_salvage",특수,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedMantleHullmod,함선은 선체에 상당한 피해를 입을 경우 위험으로부터 물러나려 합니다. 전투 중 선원 사상자가 %s 증가합니다.,피해를 받을 때마다 함선이 후퇴합니다.,이 함선은 허기짐의 균열에서 제공되는 치유의 %s 만큼의 이점을 얻습니다.,graphics/hullmods/shrouded_mantle.png
은폐 뇌운,shrouded_thunderhead,,,,"codex_unlockable, shrouded, no_drop_salvage","무기, 특수",,,,,5,10,15,25,com.fs.starfarer.api.impl.combat.dweller.ShroudedThunderheadHullmod,<스크립트에서 생성되는 툴팁>,이 함선은 자신의 무기들이 공격한 최근의 목표물에게 리프트 번개를 발사합니다.,,graphics/hullmods/shrouded_thunderhead.png
은폐 렌즈,shrouded_lens,,,,"codex_unlockable, shrouded, no_drop_salvage",특수,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedLensHullmod,<스크립트에서 생성되는 툴팁>,"렌즈는 자동으로 근처의 목표물에 초점을 맞추며, 해당 지역에 피해를 입힌다.",,graphics/hullmods/shrouded_lens.png
,,,,,,,,,,,,,,,,,,,
# ship skin buffs,,,,,,,,,,,,,,,,,,,
XIV 전투단,fourteenth,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Fourteenth,"이 함선은 헤게모니를 건설한 원래의 14번째 도메인 전투군의 생존자입니다. 도메인 해군의 ""결정적 전투"" 교리의 최고 표본으로, 붕괴 이전 산업 방법으로 수행된 급진적 구조 개조가 특징입니다. %s 표준 단위만큼 더 무거운 장갑판 장착이 가능하며 속도와 기동성은 %s만 감소합니다. 예외적으로 잘 조율된 에너지 시스템은 표준 선체 대비 플럭스 처리량과 용량을 %s 증가시킵니다.",,,graphics/hullmods/fourteenth.png
헤게모니 군사화 보조함,heg_militarized,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.Militarized,"이 함선은 헤게모니 보조함 목록에 있었거나 현재 있습니다. 헤게모니 해군 조선소에서 적용한 강화 장갑 키트는 선체 크기에 따라 %s/%s/%s/%s의 장갑 강도 증가를 제공하며 성능 손실이 없습니다. 핵심 전력 시스템이 군사 표준으로 업그레이드되어 전체 기동성 %s 향상, 플럭스 용량 %s 증가, 플럭스 소산율 %s 증가, 최대 번 레벨 %s 증가.",,,graphics/hullmods/militarized_hegemony_auxiliary.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# permanent ship debuffs,,,,,,,,,,,,,,,,,,,
손상된 장갑,comp_armor,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,이 함선의 장갑은 과거에 심각하고 수리 불가능한 손상을 입었거나 제조 결함이 있습니다. 장갑 등급이 %s 감소합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.,,,graphics/hullmods/compromised_armor.png
손상된 선체,comp_hull,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,이 함선의 선체는 과거에 심각하고 수리 불가능한 손상을 입었거나 제조 결함이 있습니다. 선체 강도가 %s 감소합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.,,,graphics/hullmods/compromised_hull.png
저하된 엔진,degraded_engines,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"전투 피해, 제조 결함, 또는 오랜 방치로 인해 이 함선의 엔진이 영구적으로 성능이 저하되었습니다. 전투 중 최고 속도와 기동성이 %s 감소합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.",,,graphics/hullmods/degraded_engines.png
저하된 구동장,degraded_drive_field,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,data.hullmods.DegradedDriveField,"전투 피해, 제조 결함, 또는 오랜 방치로 인해 이 함선의 추진 필드가 영구적으로 저하되었습니다. 최대 번 레벨이 %s 감소합니다. 센서 프로파일이 %s 증가합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.",,,graphics/hullmods/degraded_drivefield.png
결함 전력망,faulty_grid,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"전투 피해, 제조 결함, 또는 오랜 방치로 인해 이 함선의 전력망이 최고 성능에 도달하지 못합니다. 플럭스 용량이 %s 감소합니다. 플럭스 방출 속도가 %s 감소합니다. 센서 프로파일이 %s 증가합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.",,,graphics/hullmods/faulty_power_grid.png
위상 코일 불안정,unstable_coils,,,,"dmod, phaseDamage",,,,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,"이 함선의 위상 코일은 미세한 결함으로 인해 제대로 조정할 수 없습니다. 위상 시간 보너스를 %s 감소시키고, 최고 운용 시간을 %s 감소시키며, 전투 준비도 감소 속도를 %s 증가시킵니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.",,,graphics/hullmods/phase_coil_instability.png
구조 손상,comp_structure,,,,"dmod, damageStruct, destroyedDamageAlways",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStructure,"이 함선의 선체는 과거에 극심한 피해를 입어 산산조각 날 뻔했습니다. 장갑 등급이 %s, 선체 강도가 %s 감소합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.",,,graphics/hullmods/structural_damage.png
오작동 센서 배열,glitched_sensors,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GlitchedSensorArray,이 함선의 센서 배열은 전체 선체 개조 없이는 수리할 수 없을 정도로 손상되었습니다. 전투 중 무기 사거리가 %s 감소합니다. 센서 강도가 %s 감소합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.,,,graphics/hullmods/glitched_sensor_array.png
오작동 통신,malfunctioning_comms,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.MalfunctioningComms,통신 시스템이 심각한 손상을 입어 전장 방해 전파를 뚫기가 더욱 어려워졌습니다. 전투기 교전 범위가 %s 감소합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.,,,graphics/hullmods/malfunctioning_comms.png
결함 제조시설,defective_manufactory,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DefectiveManufactory,"전투기 기체를 생산하는 제조기가 불안정하여 대부분의 부품에 경미한 결함이 있습니다. 전투기 속도가 %s 감소하고, 받는 피해가 %s 증가합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.",,,graphics/hullmods/defective_manufactory.png
손상된 비행갑판,damaged_deck,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedFlightDeck,이 함선의 비행 갑판은 심각한 손상을 입어 정상 운용에 크게 지장을 줍니다. 교체 전투기 출격 시간이 %s 증가합니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.,,,graphics/hullmods/damaged_flight_deck.png
불안정 서브시스템,fragile_subsystems,,,,"dmod, damage, peak_time, notPhase",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FragileSubsystems,광범위한 여분 부품 손실로 인해 최고 운용 시간이 %s 감소하고 전투 준비도 감소 속도가 %s 빨라집니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.,,,graphics/hullmods/fragile_subsystems.png
손상된 저장공간,comp_storage,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStorage,"이 함선의 보관 용량이 크게 저하되었습니다. 승무원, 화물, 연료 용량이 %s 감소합니다.",,,graphics/hullmods/compromised_storage.png
증가된 유지비,increased_maintenance,,,,"dmod, damage, civ, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.IncreasedMaintenance,월간 유지 물자 비용을 %s 증가시킵니다. 최소 필요 승무원을 %s 증가시킵니다. 최대 전투 준비도를 %s 감소시킵니다. 배치 후 회복에 드는 물자 비용이 %s 감소합니다.,"유지 보수 비용과 승무원 요구 사항을 증가시키고, 최대 전투 준비도를 감소시킵니다.",,graphics/hullmods/increased_maintenance.png
불규칙 연료 인젝터,erratic_injector,,,,"dmod, damage, civ",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ErraticInjector,연료 소모를 %s 증가시키고 플럭스 제로 부스트를 %s su/초 감소시킵니다.,연료 소모량을 증가시키고 제로 플럭스 부스트를 감소시킵니다.,,graphics/hullmods/erratic_injector.png
결함 자동화 시스템,faulty_auto,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FaultyAutomatedSystems,최소 필요 승무원을 %s 증가시키고 최대 전투 준비도를 %s 감소시킵니다.,"최소 필요 승무원 수를 증가시키며, 최대 전투 준비도를 감소시킵니다.",,graphics/hullmods/faulty_automated_systems.png
손상된 무기 마운트,damaged_mounts,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedWeaponMounts,무기 선회 속도를 %s 감소시키고 반동을 %s 증가시킵니다.,무기 회전 속도를 감소시키고 반동을 증가시킵니다.,,graphics/hullmods/damaged_weapon_mounts.png
저하된 생명유지장치,degraded_life_support,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedLifeSupport,"최대 승무원 수용량을 %s, 최대 전투 준비도를 %s 감소시킵니다.",최대 승무원 수용량과 전투 준비 상태를 감소시킵니다.,,graphics/hullmods/degraded_life_support.png
저하된 방어막,degraded_shields,,,,"dmod, damage, reqShields",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedShields,방어막이 받는 피해를 %s 증가시킵니다.,쉴드가 받는 피해를 증가시킵니다.,,graphics/hullmods/degraded_shields.png
,,,,,,,,,,,,,,,,,,,
파괴된 무기 마운트,destroyed_mounts,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.DestroyedWeaponMounts,이 함선의 일부 원래 무기 마운트는 수리 불가능하게 손상되어 더 이상 사용할 수 없습니다.,,,graphics/hullmods/damaged_weapon_mounts.png
무모한 개조,ill_advised,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.IllAdvised,"이 선체의 시스템은 공인된 엔지니어링 감독 없이 설계 사양에서 크게 벗어나 개조되었습니다. 일상적인 조건에서는 정상 작동하는 것처럼 보이지만, 부하가 걸릴 경우 치명적 오작동 가능성이 상당합니다.",,,graphics/hullmods/illadvised.png
